belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
"{'id': 263, 'name': 'The Dark Knight Collection', 'poster_path': '/bqS2lMgGkuodIXtDILFWTSWDDpa.jpg', 'backdrop_path': '/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg'}",185000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",http://thedarkknight.warnerbros.com/dvdsite/,155,tt0468569,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}]",7/16/2008,1004558444,152,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': 'æ™®é€šè¯'}]",Why So Serious?,The Dark Knight,8.3,12269
,2200000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,185,tt0066921,en,A Clockwork Orange,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",17.112594,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,"[{'name': 'Hawk Films', 'id': 88}, {'name': 'Warner Bros.', 'id': 6194}]",12/18/1971,26589000,136,"[{'iso_639_1': 'en', 'name': 'English'}]","Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",A Clockwork Orange,8,3432
,72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,197,tt0112573,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,/or1gBugydmjToAEq7OZY0owwFk.jpg,"[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'The Ladd Company', 'id': 7965}, {'name': 'B.H. Finance C.V.', 'id': 11353}]",5/24/1995,210000000,177,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'gd', 'name': ''}]",Every man dies. Not every man truly lives.,Braveheart,7.7,3404
,17500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.metrofilms.com/hotelrwanda/,205,tt0395169,en,Hotel Rwanda,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",10.262332,/p3pHw85UMZPegfMZBA6dZ06yarm.jpg,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'United Artists', 'id': 60}, {'name': 'Industrial Development Corporation of South Africa', 'id': 564}, {'name': 'Endgame Entertainment', 'id': 1205}, {'name': 'Miracle Pictures', 'id': 2760}, {'name': 'Sixth Sense Productions', 'id': 7495}, {'name': 'Mikado Film', 'id': 11912}, {'name': 'Inside Track Films', 'id': 19834}]",9/11/2004,38000000,121,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]","When the world closed its eyes, he opened his arms.",Hotel Rwanda,7.5,805
,16400000,"[{'id': 18, 'name': 'Drama'}]",,207,tt0097165,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",19.905716,/hmGAF5NDoYB6S39UONevjHCESOI.jpg,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Silver Screen Partners IV', 'id': 10282}]",6/2/1989,235860116,129,"[{'iso_639_1': 'en', 'name': 'English'}]",He was their inspiration. He made their lives extraordinary.,Dead Poets Society,8.1,2786
,4000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,213,tt0053125,en,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",12.410427,/8gvfRlVpcKaTVqipXpYOGWBN1aO.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",7/7/1959,13275000,136,"[{'iso_639_1': 'en', 'name': 'English'}]",It's a deadly game of 'tag' and Cary Grant is 'it'...,North by Northwest,7.8,1062
"{'id': 528, 'name': 'The Terminator Collection', 'poster_path': '/vxiKtcxAJxHhlg2H1X8y7zcM3k6.jpg', 'backdrop_path': '/cpmbkwSxZnKO69V82A9a34tvk2E.jpg'}",6400000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.mgm.com/#/our-titles/1970/The-Terminator/,218,tt0088247,en,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",19.293562,/qvktm0BHcnmDpul4Hz01GIazWPr.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Pacific Western', 'id': 1280}, {'name': 'Hemdale Film', 'id': 3952}, {'name': 'Cinema 84', 'id': 4764}, {'name': 'Euro Film Funding', 'id': 7745}]",10/26/1984,78371200,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Your future is in his hands.,The Terminator,7.4,4208
"{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'}",6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",http://www.thegodfather.com/,238,tt0068646,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Alfran Productions', 'id': 10211}]",3/14/1972,245066411,175,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]",An offer you can't refuse.,The Godfather,8.5,6024
,2883848,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,239,tt0053291,en,Some Like It Hot,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",11.845107,/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,"[{'name': 'The Mirisch Corporation', 'id': 219}, {'name': 'Ashton Productions', 'id': 11982}]",3/18/1959,25000000,122,"[{'iso_639_1': 'en', 'name': 'English'}]",The movie too HOT for words!,Some Like It Hot,8,835
"{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'}",13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,240,tt0071562,en,The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",36.629307,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'The Coppola Company', 'id': 536}]",12/20/1974,47542841,200,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]","I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather: Part II,8.3,3418
"{'id': 263, 'name': 'The Dark Knight Collection', 'poster_path': '/bqS2lMgGkuodIXtDILFWTSWDDpa.jpg', 'backdrop_path': '/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg'}",150000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",http://www2.warnerbros.com/batmanbegins/index.html,272,tt0372784,en,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505341,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}, {'name': 'Patalex III Productions Limited', 'id': 19231}]",6/10/2005,374218673,140,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ur', 'name': 'Ø§Ø±Ø¯Ùˆ'}, {'iso_639_1': 'zh', 'name': 'æ™®é€šè¯'}]",Evil fears the knight.,Batman Begins,7.5,7511
"{'id': 9743, 'name': 'The Hannibal Lecter Anthology', 'poster_path': '/aRbyr3KsdmIczGh6VrlvlgQdwMQ.jpg', 'backdrop_path': '/npCbvak9UhjPsZB9Oa2k2jsqI7E.jpg'}",19000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,274,tt0102926,en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Strong Heart/Demme Production', 'id': 55072}]",2/1/1991,272742922,119,"[{'iso_639_1': 'en', 'name': 'English'}]",To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4549
,7000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.themoviefargo.com/,275,tt0116282,en,Fargo,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",12.61469,/bOMoZnNe5B9XzQg5JFTZIy4gH3Y.jpg,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]",4/5/1996,60611975,98,"[{'iso_639_1': 'en', 'name': 'English'}]",A lot can happen in the middle of nowhere.,Fargo,7.7,2080
,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,278,tt0111161,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Warner Bros.', 'id': 6194}]",9/23/1994,28341469,142,"[{'iso_639_1': 'en', 'name': 'English'}]",Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8358
,18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",,279,tt0086879,en,Amadeus,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri â€“ now confined to an insane asylum.",12.677592,/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]",10/26/1984,51973029,160,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]",...Everything you've heard is true,Amadeus,7.8,1107
"{'id': 528, 'name': 'The Terminator Collection', 'poster_path': '/vxiKtcxAJxHhlg2H1X8y7zcM3k6.jpg', 'backdrop_path': '/cpmbkwSxZnKO69V82A9a34tvk2E.jpg'}",100000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,280,tt0103064,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,"[{'name': 'Lightstorm Entertainment', 'id': 574}, {'name': 'Pacific Western', 'id': 1280}, {'name': 'Canal+', 'id': 5358}, {'name': 'Carolco Pictures', 'id': 14723}, {'name': 'T2 Productions', 'id': 61409}]",7/1/1991,520000000,137,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",It's nothing personal.,Terminator 2: Judgment Day,7.7,4274
,3000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,284,tt0053604,en,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",11.994281,/mQFw91P5t4cT199BGQDzjVJcSUl.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'The Mirisch Company', 'id': 11241}]",6/15/1960,25000000,125,"[{'iso_639_1': 'en', 'name': 'English'}]","Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",The Apartment,8.1,498
,878000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,289,tt0034583,en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",13.916101,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]",11/26/1942,10462500,102,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",They had a date with fate in Casablanca!,Casablanca,7.9,1462
"{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg'}",63000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.jurassicpark.com/,329,tt0107290,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",6/11/1993,920100000,127,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",An adventure 65 million years in the making.,Jurassic Park,7.6,4956
"{'id': 8091, 'name': 'Alien Collection', 'poster_path': '/iVzIeC3PbG9BtDAudpwSNdKAgh6.jpg', 'backdrop_path': '/kB0Y3uGe9ohJa59Lk8UO9cUOxGM.jpg'}",11000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.facebook.com/alienanthology/,348,tt0078748,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",23.37742,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Brandywine Productions', 'id': 19747}]",5/25/1979,104931801,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",In space no one can hear you scream.,Alien,7.9,4564
,350000,"[{'id': 18, 'name': 'Drama'}]",,389,tt0050083,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",16.503959,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Orion-Nova Productions', 'id': 10212}]",3/25/1957,1000000,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Life is in their hands. Death is on their minds.,12 Angry Men,8.2,2130
,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",http://www.thepianistmovie.com/,423,tt0253474,en,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,14.811594,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,"[{'name': 'Bac Films', 'id': 208}, {'name': 'Canal+Polska', 'id': 250}, {'name': 'Heritage Films', 'id': 260}, {'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Agencja Produkcji Filmowej', 'id': 266}, {'name': 'Beverly Detroit', 'id': 267}, {'name': 'FilmFernsehFonds Bayern', 'id': 268}, {'name': 'Filmboard Berlin-Brandenburg (FBB)', 'id': 269}, {'name': 'Mainstream S.A.', 'id': 271}, {'name': 'R.P. Productions', 'id': 355}, {'name': 'StudioCanal', 'id': 694}, {'name': 'FilmfÃ¶rderungsanstalt (FFA)', 'id': 4247}, {'name': 'Canal+', 'id': 5358}, {'name': 'Interscope Communications', 'id': 10201}, {'name': 'Telewizja Polska (TVP)', 'id': 19150}, {'name': 'Runteam', 'id': 31087}]",9/24/2002,120072577,150,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'PÑƒÑÑÐºÐ¸Ð¹'}]",Music was his passion. Survival was his masterpiece.,The Pianist,8.1,1927
,22000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.schindlerslist.com/,424,tt0108052,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",11/29/1993,321365567,195,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'he', 'name': '×¢Ö´×‘Ö°×¨Ö´×™×ª'}, {'iso_639_1': 'en', 'name': 'English'}]","Whoever saves one life, saves the world entire.",Schindler's List,8.3,4436
,2479000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,426,tt0052357,en,Vertigo,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",18.20822,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Alfred J. Hitchcock Productions', 'id': 10715}]",5/9/1958,28000000,128,"[{'iso_639_1': 'en', 'name': 'English'}]",Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,Vertigo,8,1162
,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.abeautifulmind.com/,453,tt0268978,en,A Beautiful Mind,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",11.93646,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Universal Pictures', 'id': 33}]",12/11/2001,313542341,135,"[{'iso_639_1': 'en', 'name': 'English'}]",I need to believe that something extra ordinary is possible...,A Beautiful Mind,7.7,3087
,10000000,"[{'id': 18, 'name': 'Drama'}]",http://www.miramax.com/movie/good-will-hunting,489,tt0119217,en,Good Will Hunting,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",15.064833,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Lawrence Bender Productions', 'id': 2253}, {'name': 'Be Gentlemen Limited Partnership', 'id': 23201}]",12/5/1997,225933435,126,"[{'iso_639_1': 'en', 'name': 'English'}]","Some people can never believe in themselves, until someone believes in them.",Good Will Hunting,7.9,2880
,60000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",http://thegreenmile.warnerbros.com/,497,tt0120689,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",19.96678,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Darkwoods Productions', 'id': 3982}, {'name': 'Warner Bros.', 'id': 6194}]",12/10/1999,284600000,189,"[{'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'en', 'name': 'English'}]",Miracles do happen.,The Green Mile,8.2,4166
,1200000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,500,tt0105236,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",12.22034,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,"[{'name': 'Live Entertainment', 'id': 285}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Dog Eat Dog Productions Inc.', 'id': 26198}]",9/2/1992,14661007,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Every dog has his day.,Reservoir Dogs,8.1,3821
,3000000,"[{'id': 18, 'name': 'Drama'}]",,510,tt0073486,en,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",35.529554,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Fantasy Films', 'id': 286}, {'name': 'Warner Bros.', 'id': 6194}]",11/18/1975,108981275,133,"[{'iso_639_1': 'en', 'name': 'English'}]","If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,8.3,3001
,1400000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,521,tt0046912,en,Dial M for Murder,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan - to frame her for murder instead.",7.853231,/4KKiFDvtEusJzqzlwHp7iMceXKS.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]",5/29/1954,3000000,104,"[{'iso_639_1': 'en', 'name': 'English'}]",If a woman answers...hang on for dear life!,Dial M for Murder,7.9,539
,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,524,tt0112641,en,Casino,The life of the gambling paradise â€“ Las Vegas â€“ and its dark mafia underbelly.,10.137389,/4TS5O1IP42bY2BvgMxL156EENy.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'LÃ©gende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]",11/22/1995,116112375,178,"[{'iso_639_1': 'en', 'name': 'English'}]",No one stays at the top forever.,Casino,7.8,1343
,63000000,"[{'id': 18, 'name': 'Drama'}]",http://www.foxmovies.com/movies/fight-club,550,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63.869599,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Taurus Film', 'id': 20555}, {'name': 'Linson Films', 'id': 54050}, {'name': 'Atman Entertainment', 'id': 54051}, {'name': 'Knickerbocker Films', 'id': 54052}]",10/15/1999,100853753,139,"[{'iso_639_1': 'en', 'name': 'English'}]",Mischief. Mayhem. Soap.,Fight Club,8.3,9678
